id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,著作権法の現状と課題に関する多角的な視点と改善提案,5,4,3
1_10,生成AIと著作権に関する倫理的・法的懸念,5,4,4
1_11,生成AIと海賊版問題における著作権侵害の懸念と倫理的対応の必要性,5,4,4
1_12,生成AIによるクリエイターの権利侵害と倫理的懸念,5,4,4
1_13,AI生成物と手描き作品の識別困難による文化的・法的懸念,5,4,4
1_14,生成AIの透明性と規制の必要性に関する議論,5,4,3
1_15,無断使用による肖像権・著作権侵害と社会的影響の懸念,5,4,4
1_2,クリエイターの権利保護と文化維持のための法整備の必要性,5,4,4
1_3,AIと著作権に関する法的・倫理的課題とその対応策,5,4,4
1_4,AI生成物の著作権と倫理的懸念に関する議論,5,4,4
1_5,著作権法とAI推進に関する懸念と提案,4,3,3
1_6,AI技術の急速な発展に伴う法整備と規制の必要性,4,3,3
1_7,日本文化とクリエイター保護のための生成AI規制の必要性,5,4,4
1_8,生成AIによる著作権侵害と文化保護の必要性,5,4,4
1_9,生成AIによるクリエイターへの影響と保護の必要性,5,4,4
