id,label,inclusiveness_score,specificity_score,concreteness_score
1_1,著作権保護の強化と法的整備の必要性に関する懸念と提案,5,4,4
1_10,生成AIと著作権に関する倫理的・法的懸念,5,4,4
1_11,生成AIと著作権侵害に関する倫理的・法的懸念,5,4,4
1_12,生成AIによるクリエイターへの影響と規制の必要性,5,4,4
1_13,AI生成物と手描き作品の識別と著作権保護の必要性,5,4,4
1_14,AI生成物の透明性と信頼性確保のための表記義務と規制の必要性,5,4,4
1_15,AI技術による著作権・肖像権侵害と倫理的懸念,5,4,4
1_2,クリエイターの権利保護と文化産業の持続可能性,5,4,4
1_3,AIと著作権に関する倫理的・法的課題の検討,5,4,4
1_4,AI生成物と著作権に関する倫理的・法的課題,5,4,4
1_5,AI推進と著作権に関する公正な政策形成の必要性,4,3,3
1_6,AI利用における規制強化と倫理的課題の解決,5,4,3
1_7,生成AIと日本文化の保護に関する懸念と規制の必要性,5,4,4
1_8,AI生成技術と著作権・倫理問題に関する懸念と規制の必要性,5,4,4
1_9,生成AIによるクリエイターへの影響と懸念,5,4,4
